epoch,train_loss,train_acc,train_f1_macro,val_loss,val_acc,val_f1_macro
1,1.1042537588775159,33.5125,33.26406601354325,1.1084008722305299,31.0,15.776081424936386
2,1.1009836735129357,33.7875,32.81331277766346,1.1043248777389527,31.0,15.776081424936386
3,1.0999471898078919,34.025,30.490788009612253,1.1000112657546997,32.7,26.260808905811743
4,1.09860237210989,34.55,30.30723949409568,1.099451678276062,33.300000000000004,31.10123546460679
5,1.0988704191446304,33.800000000000004,31.816420410537138,1.0999963140487672,31.8,29.832911131459355
6,1.0986395948529244,33.825,29.563834405097506,1.1016932816505431,31.0,15.776081424936386
7,1.0986815118789672,33.8125,27.71250745494067,1.0994732184410094,32.7,29.448920632900556
8,1.098419259607792,33.8375,30.03504232622805,1.1002902522087097,35.5,28.072612985152713
9,1.0982066321372985,33.725,25.204462698940482,1.100372229576111,31.0,24.822185668438237
10,1.0981976298689842,34.4375,28.329546774590277,1.1003609766960145,31.900000000000002,23.846891284671457
